user_id,category,total_tweets,relevant_tweets,interest_percent,suggested
17558582,WOMEN,86,5,5.81395,no
2147483647,WOMEN,89,28,31.4607,yes
736819273,OLD,76,4,5.26316,no
2147483647,animals,64,8,12.5,yes
133471182,WOMEN,43,6,13.9535,yes
52123313,OLD,71,3,4.22535,no
15976705,WOMEN,98,10,10.2041,yes
171998522,OLD,68,2,2.94118,no
768529747,OLD,64,5,7.8125,no
265036344,OLD,96,9,9.375,yes
170911976,OLD,100,18,18,yes
253065878,WOMEN,80,4,5,no
333409806,HEALTH,84,8,9.52381,yes
325548512,WOMEN,48,6,12.5,yes
2147483647,animals,74,16,21.6216,yes
2147483647,OLD,100,1,1,no
467857084,WOMEN,100,9,9,no
14240332,animals,95,1,1.05263,no
2147483647,WOMEN,100,7,7,no
72013267,OLD,64,9,14.0625,yes
2147483647,WOMEN,95,6,6.31579,no
319653318,WOMEN,100,11,11,yes
2147483647,OLD,100,17,17,yes
105781495,CHILD,99,14,14.1414,yes
53695061,animals,75,2,2.66667,no
27503615,WOMEN,62,3,4.83871,no
126144189,OLD,92,9,9.78261,yes
2147483647,OLD,77,5,6.49351,no
2147483647,WOMEN,100,6,6,no
2147483647,WOMEN,100,7,7,no
2147483647,WOMEN,78,3,3.84615,no
555077749,OLD,99,4,4.0404,no
176783808,OLD,100,1,1,no
830875519,OLD,49,2,4.08163,no
2147483647,OLD,100,5,5,no
2147483647,OLD,93,1,1.07527,no
1688280331,OLD,88,6,6.81818,no
2147483647,animals,97,6,6.18557,no
449569260,OLD,100,6,6,no
16806203,WOMEN,38,11,28.9474,yes
489567677,OLD,94,2,2.12766,no
2147483647,WOMEN,100,7,7,no
2147483647,animals,93,4,4.30107,no
2147483647,OLD,31,1,3.22581,no
968045676,WOMEN,99,13,13.1313,yes
2147483647,CHILD,92,3,3.26087,no
240669375,WOMEN,90,2,2.22222,no
2147483647,animals,200,38,19,yes
70383057,WOMEN,99,24,24.2424,yes
37113904,WOMEN,98,17,17.3469,yes
2147483647,OLD,100,5,5,no
267709074,OLD,97,6,6.18557,no
2147483647,WOMEN,74,5,6.75676,no
2147483647,OLD,71,3,4.22535,no
112871937,animals,93,2,2.15054,no
26436639,HEALTH,199,6,3.01508,no
26436639,OLD,199,5,2.51256,no
501811285,animals,98,11,11.2245,yes
2147483647,WOMEN,96,5,5.20833,no
54793073,WOMEN,87,9,10.3448,yes
2147483647,WOMEN,26,3,11.5385,yes
2147483647,OLD,248,8,3.22581,no
2147483647,animals,162,14,8.64198,no
901843525,WOMEN,95,3,3.15789,no
1093712006,animals,200,18,9,no
300526875,animals,99,45,45.4545,yes
2147483647,animals,100,7,7,no
1121252012,animals,200,10,5,no
1121252012,WOMEN,200,10,5,no
48046792,WOMEN,100,8,8,no
184589098,animals,100,2,2,no
480624818,animals,100,8,8,no
2147483647,animals,76,7,9.21053,no
370531404,animals,200,29,14.5,yes
506007359,animals,176,20,11.3636,yes
2147483647,OLD,100,3,3,no
2147483647,animals,100,24,24,yes
478925195,OLD,99,5,5.05051,no
2147483647,animals,500,325,65,yes
2147483647,animals,96,12,12.5,yes
270064609,animals,99,14,14.1414,yes
2147483647,animals,99,14,14.1414,yes
203063155,WOMEN,100,3,3,no
2147483647,HEALTH,98,25,25.5102,yes
2147483647,WOMEN,100,5,5,no
2147483647,WOMEN,100,7,7,no
2147483647,animals,91,2,2.1978,no
2147483647,animals,328,28,8.53658,no
228178281,OLD,88,9,10.2273,yes
1257921120,WOMEN,75,3,4,no
2147483647,animals,300,30,10,yes
1348819170,CHILD,79,7,8.86076,no
81568873,OLD,82,7,8.53658,yes
60355763,OLD,100,14,14,yes
1583109553,CHILD,83,2,2.40964,no
2147483647,CHILD,93,2,2.15054,no
2147483647,OLD,100,11,11,yes
2147483647,animals,98,7,7.14286,no
244515233,OLD,90,7,7.77778,no
2147483647,OLD,198,12,6.06061,no
2147483647,WOMEN,198,11,5.55556,no
2147483647,OLD,100,6,6,no
225414618,WOMEN,98,7,7.14286,no
952220568,OLD,64,9,14.0625,yes
50984502,OLD,97,24,24.7423,yes
99479584,OLD,186,10,5.37634,no
308396713,HEALTH,95,1,1.05263,no
2147483647,OLD,90,21,23.3333,yes
2147483647,OLD,30,2,6.66667,no
396125764,animals,90,2,2.22222,no
15138818,WOMEN,99,5,5.05051,no
18497684,WOMEN,96,19,19.7917,yes
2147483647,WOMEN,61,7,11.4754,yes
482408187,OLD,62,9,14.5161,yes
590954462,animals,90,7,7.77778,no
2147483647,OLD,82,5,6.09756,no
105914164,OLD,100,10,10,yes
2147483647,OLD,200,26,13,yes
530792136,OLD,97,8,8.24742,yes
34844572,WOMEN,85,3,3.52941,no
38905431,animals,98,11,11.2245,yes
2147483647,OLD,67,5,7.46269,no
2147483647,OLD,186,20,10.7527,yes
2147483647,WOMEN,94,11,11.7021,yes
2147483647,animals,97,10,10.3093,yes
2147483647,animals,98,11,11.2245,yes
2147483647,animals,98,8,8.16327,no
2147483647,animals,99,11,11.1111,yes
519403939,WOMEN,96,8,8.33333,no
1024142564,OLD,100,16,16,yes
2147483647,WOMEN,71,5,7.04225,no
2147483647,WOMEN,200,72,36,yes
334574508,OLD,99,3,3.0303,no
21737425,WOMEN,74,7,9.45946,yes
1205870442,HEALTH,99,10,10.101,yes
1550674172,WOMEN,200,14,7,no
1170723331,HEALTH,100,26,26,yes
2147483647,OLD,100,2,2,no
2147483647,OLD,99,10,10.101,yes
635479529,OLD,92,7,7.6087,no
347391607,animals,96,10,10.4167,yes
14484718,OLD,78,1,1.28205,no
343485072,OLD,89,5,5.61798,no
295834523,WOMEN,95,8,8.42105,no
94291304,OLD,71,4,5.6338,no
2147483647,WOMEN,99,5,5.05051,no
86854565,OLD,100,14,14,yes
410336303,animals,56,7,12.5,yes
2147483647,OLD,200,5,2.5,no
2147483647,WOMEN,5,1,20,yes
2147483647,OLD,97,2,2.06186,no
17675013,WOMEN,31,3,9.67742,yes
81196128,animals,77,3,3.8961,no
251741471,OLD,180,8,4.44444,no
1246102712,OLD,95,5,5.26316,no
2147483647,animals,281,40,14.2349,yes
2147483647,OLD,281,18,6.40569,no
113499560,OLD,200,20,10,yes
2147483647,WOMEN,94,11,11.7021,yes
354100902,OLD,41,3,7.31707,no
489488247,OLD,90,15,16.6667,yes
94767003,OLD,79,2,2.53165,no
1953441847,animals,100,10,10,yes
2147483647,OLD,100,10,10,yes
2147483647,OLD,89,5,5.61798,no
2147483647,OLD,97,4,4.12371,no
766658,WOMEN,74,5,6.75676,no
750848454,OLD,100,4,4,no
1575171277,OLD,100,4,4,no
600369881,animals,45,2,4.44444,no
2147483647,WOMEN,100,18,18,yes
1072327080,HEALTH,90,6,6.66667,no
61656623,OLD,82,4,4.87805,no
2147483647,OLD,64,5,7.8125,no
2147483647,OLD,100,4,4,no
2147483647,animals,100,1,1,no
2147483647,OLD,94,13,13.8298,yes
2147483647,animals,99,1,1.0101,no
600404468,CHILD,47,4,8.51064,no
572696541,WOMEN,100,6,6,no
2147483647,OLD,84,2,2.38095,no
378300547,OLD,30,4,13.3333,yes
2147483647,OLD,100,7,7,no
623431520,OLD,51,3,5.88235,no
2147483647,OLD,98,2,2.04082,no
2147483647,WOMEN,63,1,1.5873,no
1245567912,HEALTH,99,5,5.05051,no
2147483647,WOMEN,47,3,6.38298,no
1554224773,OLD,95,6,6.31579,no
601007612,OLD,99,6,6.06061,no
1266323203,WOMEN,92,21,22.8261,yes
355753898,WOMEN,79,10,12.6582,yes
2147483647,OLD,100,3,3,no
90474786,OLD,96,7,7.29167,no
2147483647,animals,265,2,0.754717,no
2147483647,OLD,265,1,0.377358,no
184621050,animals,99,8,8.08081,no
42745356,WOMEN,85,4,4.70588,no
2147483647,WOMEN,92,4,4.34783,no
750616585,OLD,100,6,6,no
1575039644,OLD,100,6,6,no
15380216,WOMEN,98,15,15.3061,yes
2147483647,CHILD,99,1,1.0101,no
213036235,WOMEN,84,1,1.19048,no
58383888,OLD,58,5,8.62069,yes
